Comment,Designator,Footprint,LCSC Part #
1M,R7 R28 R37 R46 R83 R93 R102 R111 R120 R130 R139 R148 R157 R167 R176 R185,R0402,
1k,R5 R6 R8 R20 R27 R29 R36 R38 R45 R75 R82 R84 R85 R92 R94 R101 R103 R110 R112 R119 R121 R122 R129 R131 R138 R140 R147 R149 R156 R158 R159 R166 R168 R175 R177 R184,R0402,
2k4,R3 R24 R33 R42 R79 R89 R98 R107 R116 R126 R135 R144 R153 R163 R172 R181,R0402,
6k8,R4 R25 R34 R43 R80 R90 R99 R108 R117 R127 R136 R145 R154 R164 R173 R182,R0402,
12k,R1 R23 R32 R41 R78 R88 R97 R106 R115 R125 R134 R143 R152 R162 R171 R180,R0402,
19-213/Y2C-CQ2R2L/3T(CY),D3 D30 D43 D56,LED-0603,
19-217/BHC-ZL1M2RY/3T,D4 D10 D13 D16 D29 D33 D36 D39 D42 D46 D49 D52 D55 D59 D62 D65,LED-0603,
33nF,C8 C15 C20 C25 C45 C50 C55 C60 C65 C70 C75 C80 C85 C90 C95 C100,C0402,
51k,R2 R26 R35 R44 R81 R91 R100 R109 R118 R128 R137 R146 R155 R165 R174 R183,R0402,
100nF,C2 C4 C11 C14 C16 C19 C21 C24 C41 C44 C46 C49 C51 C54 C56 C59 C61 C64 C66 C69 C71 C74 C76 C79 C81 C84 C86 C89 C91 C94 C96 C99,C0603,
100pF,C1 C13 C18 C23 C43 C48 C53 C58 C63 C68 C73 C78 C83 C88 C93 C98,C0402,
130k,R10 R22 R31 R40 R77 R87 R96 R105 R114 R124 R133 R142 R151 R161 R170 R179,R0603,
200k,R9 R21 R30 R39 R76 R86 R95 R104 R113 R123 R132 R141 R150 R160 R169 R178,R0402,
DRV103H,U2 U3 U4 U5 U9 U10 U11 U12 U13 U14 U15 U16 U17 U18 U19 U20,SOIC127P600X170-9N,
KT-0603R,D2 D9 D12 D15 D28 D32 D35 D38 D41 D45 D48 D51 D54 D58 D61 D64,LED-0603,
MURS360T3G,D1 D8 D11 D14 D27 D31 D34 D37 D40 D44 D47 D50 D53 D57 D60 D63,DIOM8059X261N,
