Designator,Mid X,Mid Y,Layer,Rotation
C1, 8.00,28.50,Top,180.0
C2,11.05,26.97,Top,0.0
C4, 5.74,34.85,Top,270.0
C8, 9.50,10.82,Top,270.0
C11,21.21,26.97,Top,0.0
C13,18.16,28.50,Top,180.0
C14,15.90,34.85,Top,270.0
C15,19.02,10.82,Top,270.0
C16,31.34,26.97,Top,0.0
C18,28.30,28.50,Top,180.0
C19,26.04,34.85,Top,270.0
C20,29.16,10.82,Top,270.0
C21,41.50,26.97,Top,0.0
C23,38.46,28.50,Top,180.0
C24,36.20,34.85,Top,270.0
C25,38.58,10.85,Top,270.0
C41,61.54,26.97,Top,0.0
C43,58.50,28.50,Top,180.0
C44,56.24,34.85,Top,270.0
C45,59.99,10.82,Top,270.0
C46,71.70,26.97,Top,0.0
C48,68.66,28.50,Top,180.0
C49,66.40,34.85,Top,270.0
C50,69.52,10.82,Top,270.0
C51,81.84,26.97,Top,0.0
C53,78.79,28.50,Top,180.0
C54,76.53,34.85,Top,270.0
C55,79.65,10.82,Top,270.0
C56,92.00,26.97,Top,0.0
C58,88.95,28.50,Top,180.0
C59,86.69,34.85,Top,270.0
C60,89.08,10.85,Top,270.0
C61,11.05,77.47,Top,0.0
C63, 8.00,78.99,Top,180.0
C64, 5.74,85.34,Top,270.0
C65, 9.50,61.32,Top,270.0
C66,21.21,77.47,Top,0.0
C68,18.16,78.99,Top,180.0
C69,15.90,85.34,Top,270.0
C70,19.02,61.32,Top,270.0
C71,31.34,77.47,Top,0.0
C73,28.30,78.99,Top,180.0
C74,26.04,85.34,Top,270.0
C75,29.16,61.32,Top,270.0
C76,41.50,77.47,Top,0.0
C78,38.46,78.99,Top,180.0
C79,36.20,85.34,Top,270.0
C80,38.58,61.34,Top,270.0
C81,61.54,77.47,Top,0.0
C83,58.50,78.99,Top,180.0
C84,56.24,85.34,Top,270.0
C85,59.99,61.32,Top,270.0
C86,71.70,77.47,Top,0.0
C88,68.66,78.99,Top,180.0
C89,66.40,85.34,Top,270.0
C90,69.52,61.32,Top,270.0
C91,81.84,77.47,Top,0.0
C93,78.79,78.99,Top,180.0
C94,76.53,85.34,Top,270.0
C95,79.65,61.32,Top,270.0
C96,92.00,77.47,Top,0.0
C98,88.95,78.99,Top,180.0
C99,86.69,85.34,Top,270.0
C100,89.08,61.34,Top,270.0
D1, 9.53,39.88,Top,0.0
D2, 6.86,22.86,Top,90.0
D3, 3.00, 6.91,Top,90.0
D4,13.49,22.86,Top,90.0
D8,19.69,39.88,Top,0.0
D9,16.38,22.86,Top,90.0
D10,23.01,22.86,Top,90.0
D11,29.82,39.88,Top,0.0
D12,26.52,22.86,Top,90.0
D13,33.15,22.86,Top,90.0
D14,39.98,39.88,Top,0.0
D15,35.94,22.89,Top,90.0
D16,42.57,22.89,Top,90.0
D27,60.02,39.88,Top,0.0
D28,57.35,22.86,Top,90.0
D29,63.98,22.86,Top,90.0
D30,53.49, 6.91,Top,90.0
D31,70.18,39.88,Top,0.0
D32,66.88,22.86,Top,90.0
D33,73.51,22.86,Top,90.0
D34,80.31,39.88,Top,0.0
D35,77.01,22.86,Top,90.0
D36,83.64,22.86,Top,90.0
D37,90.47,39.88,Top,0.0
D38,86.44,22.89,Top,90.0
D39,93.07,22.89,Top,90.0
D40, 9.53,90.37,Top,0.0
D41, 6.86,73.36,Top,90.0
D42,13.49,73.36,Top,90.0
D43, 3.00,57.40,Top,90.0
D44,19.69,90.37,Top,0.0
D45,16.38,73.36,Top,90.0
D46,23.01,73.36,Top,90.0
D47,29.82,90.37,Top,0.0
D48,26.52,73.36,Top,90.0
D49,33.15,73.36,Top,90.0
D50,39.98,90.37,Top,0.0
D51,35.94,73.38,Top,90.0
D52,42.57,73.38,Top,90.0
D53,60.02,90.37,Top,0.0
D54,57.35,73.36,Top,90.0
D55,63.98,73.36,Top,90.0
D56,53.49,57.40,Top,90.0
D57,70.18,90.37,Top,0.0
D58,66.88,73.36,Top,90.0
D59,73.51,73.36,Top,90.0
D60,80.31,90.37,Top,0.0
D61,77.01,73.36,Top,90.0
D62,83.64,73.36,Top,90.0
D63,90.47,90.37,Top,0.0
D64,86.44,73.38,Top,90.0
D65,93.07,73.38,Top,90.0
R1, 7.37,10.82,Top,270.0
R2,12.95,10.82,Top,270.0
R3,10.82,10.82,Top,270.0
R4,11.89,10.82,Top,270.0
R5, 3.00, 4.01,Top,270.0
R6,13.49,19.96,Top,270.0
R7, 8.43,10.82,Top,90.0
R8, 6.88,19.96,Top,270.0
R9,11.05,28.51,Top,0.0
R10, 8.00,26.97,Top,180.0
R20,16.41,19.96,Top,270.0
R21,21.21,28.51,Top,0.0
R22,18.16,26.97,Top,180.0
R23,16.89,10.82,Top,270.0
R24,20.35,10.82,Top,270.0
R25,21.41,10.82,Top,270.0
R26,22.48,10.82,Top,270.0
R27,23.01,19.96,Top,270.0
R28,17.96,10.82,Top,90.0
R29,26.54,19.96,Top,270.0
R30,31.34,28.51,Top,0.0
R31,28.30,26.97,Top,180.0
R32,27.03,10.82,Top,270.0
R33,30.48,10.82,Top,270.0
R34,31.55,10.82,Top,270.0
R35,32.61,10.82,Top,270.0
R36,33.15,19.96,Top,270.0
R37,28.09,10.82,Top,90.0
R38,35.97,19.99,Top,270.0
R39,41.50,28.51,Top,0.0
R40,38.46,26.97,Top,180.0
R41,36.45,10.85,Top,270.0
R42,39.90,10.85,Top,270.0
R43,40.97,10.85,Top,270.0
R44,42.04,10.85,Top,270.0
R45,42.57,19.99,Top,270.0
R46,37.52,10.85,Top,90.0
R75,57.38,19.96,Top,270.0
R76,61.54,28.51,Top,0.0
R77,58.50,26.97,Top,180.0
R78,57.86,10.82,Top,270.0
R79,61.32,10.82,Top,270.0
R80,62.38,10.82,Top,270.0
R81,63.45,10.82,Top,270.0
R82,63.98,19.96,Top,270.0
R83,58.93,10.82,Top,90.0
R84,53.49, 4.01,Top,270.0
R85,66.90,19.96,Top,270.0
R86,71.70,28.51,Top,0.0
R87,68.66,26.97,Top,180.0
R88,67.39,10.82,Top,270.0
R89,70.84,10.82,Top,270.0
R90,71.91,10.82,Top,270.0
R91,72.97,10.82,Top,270.0
R92,73.51,19.96,Top,270.0
R93,68.45,10.82,Top,90.0
R94,77.04,19.96,Top,270.0
R95,81.84,28.51,Top,0.0
R96,78.79,26.97,Top,180.0
R97,77.52,10.82,Top,270.0
R98,80.98,10.82,Top,270.0
R99,82.04,10.82,Top,270.0
R100,83.11,10.82,Top,270.0
R101,83.64,19.96,Top,270.0
R102,78.59,10.82,Top,90.0
R103,86.46,19.99,Top,270.0
